City_Name,Country Codes,Lat,Lng,Date,Max_Temp,Cloudiness,Humidty,Wind Speed
Slave Lake,CA,56.340170091945424,-114.35939100057043,1551652481,8.18,0,49,4.52
Bethel,US,59.38121979490856,-160.79563680752767,1551650160,33.8,90,80,9.17
Alexandria,EG,32.1689580261278,28.862403510472518,1551652483,61.06,92,100,16.49
Sao Domingos,BR,-13.62964027766236,-46.66774400905925,1551652484,74.29,92,89,2.73
Yellowknife,CA,65.66855225978156,-111.37080983829182,1551652484,1.93,32,75,12.24
Limbang,MY,3.4594874648639973,115.19070325836918,1551652485,70.6,64,90,1.95
Pacific Grove,US,32.289509867679016,-125.89206337682978,1551652486,57.01,44,100,8.77
Riberalta,BO,-12.440705326698193,-66.44918438021956,1551652487,83.2,8,71,2.95
Sterling,US,60.53285636068091,-150.14340312516094,1551652358,33.8,90,59,5.82
Lompoc,US,25.11653062314403,-133.2837788367028,1551652488,68.62,92,99,8.88
Taolanaro,MG,-49.54576326399581,54.72173734448708,1551652488,41.48,36,100,20.51
Colares,PT,37.9932809425398,-13.029971750411278,1551652490,61.15,64,97,17.27
Cidreira,BR,-40.617957479590075,-38.00397589300533,1551652490,60.38,20,100,32.93
Thompson,CA,63.919158373323825,-95.75676449755129,1551650400,1.4,75,77,27.51
Avarua,CK,-30.16429985558021,-158.57701484455413,1551652493,71.86,24,100,19.28
Changji,CN,44.09915224973403,87.59187261985204,1551652444,33.01,56,85,2.24
Auki,SB,-7.640663675425728,161.7530991395763,1551652494,82.3,20,100,7.31
Tomatlan,MX,16.23435273189719,-109.7137949975532,1551652496,77.62,0,100,9.44
Radovitskiy,RU,55.12684588316952,39.74531458798694,1551652411,19.0,8,93,3.0
Margate,ZA,-42.10211458674139,42.14867643101729,1551652496,56.74,12,93,15.37
Opole Lubelskie,PL,50.98271993698134,21.933248388480138,1551652385,48.0,90,87,14.99
Winnemucca,US,41.56647032640808,-118.72145692341502,1551652497,37.03,0,74,3.18
Lasa,CN,29.515538372292795,90.02439580145347,1551652498,-7.12,8,58,1.61
Camacha,PT,33.70413300472106,-15.19383586567642,1551652499,62.95,88,100,9.55
Acarau,BR,7.266752840555355,-39.5279570245514,1551652499,78.43,48,100,19.28
Yermish,RU,54.87213681921577,42.09508170793066,1551652500,15.34,0,78,7.2
Samarai,PG,-12.885539614582996,150.32711941592913,1551652500,79.91,80,100,5.41
Pisco,PE,-26.66832824013388,-100.25741866701122,1551652501,72.58,76,100,13.13
Tabiauea,KI,0.23708810956065918,172.44057181747655,1551652502,81.22,64,100,10.22
Blagoveshchenka,RU,52.74179374637205,80.0588482231197,1551652503,25.24,32,80,14.36
Tres De Maio,BR,-27.811887975961064,-54.12845800909254,1551652503,70.73,0,67,6.76
Walvis Bay,NA,-23.884201201945032,10.094914063884971,1551652504,72.08,0,96,19.62
Azimur,MA,33.68241694281831,-9.337862279182389,1551652505,61.51,32,100,12.24
Solano,CO,0.4034152531499444,-75.63470969659227,1551652505,77.3,32,90,2.73
Seabra,BR,-12.33480714421232,-42.19951131022091,1551652505,71.95,64,74,10.22
Caucaia,BR,0.6145638517806304,-35.475807081510226,1551652506,81.26,88,98,15.26
Fortuna,US,33.54198909880131,-135.3623725459761,1551652506,58.54,92,100,19.84
Port Augusta,AU,-28.044548577884427,138.51490859521465,1551652507,92.29,0,26,11.45
Ranong,TH,10.18891439533978,95.77993502092392,1551652508,81.98,0,100,5.64
One Hundred Mile House,CA,51.75168194781267,-121.31169159676384,1551652222,19.99,1,28,3.51
Souillac,MU,-22.072786727643802,57.78206956250975,1551652518,83.74,0,97,13.02
Yerbogachen,RU,66.25442665410469,106.08611826369054,1551652518,8.14,56,83,4.97
Moose Factory,CA,55.368901141818554,-77.68779379700328,1551650580,-0.41,90,84,8.05
Phan Rang,VN,10.559388424751546,111.2318741202082,1551652520,79.78,0,100,9.89
Guerrero Negro,MX,27.07566438342849,-115.52694450855026,1551652520,61.1,0,100,18.28
General Roca,AR,-38.85330101684607,-65.80075596489394,1551652521,72.49,24,17,6.76
Mount Gambier,AU,-58.801511734034854,126.62330090861536,1551652521,37.75,88,100,16.37
Dudinka,RU,71.81539411683957,85.45286068916039,1551652522,-14.05,32,63,7.65
Strezhevoy,RU,62.45544823879246,79.49428467293899,1551652524,26.5,20,84,16.71
Ruteng,ID,-7.8362042966294325,120.65660043717799,1551652525,80.36,44,100,5.08
Moron,MN,50.08305540886613,101.40120190446584,1551652525,0.04,0,53,2.95
Angoche,MZ,-17.694015410773574,39.616670084787984,1551652526,75.1,92,100,17.05
Lundazi,ZM,-12.205562868888677,32.701304281711344,1551652526,67.58,56,88,5.86
Novikovo,RU,45.59770641572703,144.91510298979205,1551652527,26.18,24,100,11.9
Bairiki,KI,0.40032128400444833,164.60100075932075,1551652527,79.55,80,100,11.79
Nikolskoye,RU,43.746940066638956,175.46007256944625,1551652528,39.5,80,100,18.5
Charters Towers,AU,-20.594538848172107,146.50505341303864,1551652529,76.4,0,77,11.68
Barrow,US,77.03586843496106,-150.14682429383333,1551652529,4.76,36,87,26.89
Kruisfontein,ZA,-60.72071567871482,26.62136764221117,1551652530,34.73,80,98,10.89
Danilovka,RU,50.454227157838574,43.76772811177531,1551652456,24.01,92,81,8.99
Samfya,ZM,-11.486563360522496,29.786899784442454,1551652532,64.43,76,100,2.84
Georgetown,SH,-3.9912536234199933,-9.898417028870767,1551652533,82.25,8,100,6.98
Sitka,US,39.26087390194141,-144.24296652975156,1551652533,53.14,88,100,27.67
Qabis,TN,34.29948364636381,9.941869439101083,1551650400,50.0,0,57,2.24
Sataua,WS,-7.4729090409384185,-173.33386477037408,1551652535,82.57,24,100,16.15
Touros,BR,-2.7575386065480956,-32.443217237791515,1551652535,80.81,36,100,6.76
Nalut,LY,30.224285446129656,10.066392190371175,1551652536,50.03,0,73,8.99
Tura,RU,66.41800277871826,100.65416909884652,1551652536,-3.7,8,60,4.74
Pangnirtung,CA,64.84592322280261,-59.70335576856456,1551652537,8.41,80,87,14.7
Cherskiy,RU,83.15346123669002,162.99176126854996,1551652538,3.91,56,79,11.45
Almaty,KZ,42.96699595535944,76.90135369187857,1551650400,28.4,90,92,2.24
Punta Alta,AR,-40.21063105482511,-61.61613395168712,1551652538,65.83,64,100,10.45
Inhambane,MZ,-21.73723977238444,37.34089911745443,1551652539,82.84,0,99,13.8
Emerald,AU,-25.0189062109104,147.98076813190977,1551652539,74.38,0,63,8.99
Kudymkar,RU,59.285748830134736,54.73150747130086,1551652540,-4.38,0,63,3.51
Staryy Nadym,RU,66.57670488267573,73.2669535833461,1551652540,9.67,88,81,21.52
Ambanja,MG,-12.986406906809734,47.2334586818323,1551652542,80.36,56,100,3.06
Codrington,AG,19.794921647827408,-56.31927816501047,1551652542,76.18,76,100,18.05
Kulhudhuffushi,MV,6.900097320787111,71.14896141460565,1551652543,81.4,88,100,8.43
Saint-Philippe,RE,-52.488442098768786,70.66968229496095,1551652544,41.3,92,91,17.72
Clonakilty,IE,50.33739702254306,-8.582930014133211,1551652544,47.83,88,100,13.58
Abu Jubayhah,SD,11.466205388650366,30.788472086699073,1551652546,67.18,0,22,8.32
Najran,SA,16.450211371653836,45.19696645788781,1551652547,55.88,0,51,2.06
Te Anau,NZ,-43.49637077781585,161.41600743947083,1551652547,63.85,92,92,29.8
Uvira,CD,-3.57821929968118,29.24120678523201,1551652548,61.42,76,100,1.61
Jackson,US,35.61272477287406,-88.80299668638504,1551652507,34.0,90,86,18.34
Sola,VU,-13.995490020277188,168.14212179211853,1551652550,84.68,8,94,12.8
Saskylakh,RU,87.161830656148,120.64834198610572,1551652551,-10.27,56,69,4.63
Severobaykalsk,RU,56.45345956338565,108.7753576926603,1551652551,1.66,12,98,2.06
Ambon,ID,-5.42185214050474,127.82793352180369,1551652552,80.45,68,100,4.52
Klaksvik,FO,80.9783849867473,-4.70878512845033,1551652552,-13.87,36,84,19.39
Pilot Butte,CA,50.50904481546627,-104.31119936938659,1551652372,1.99,90,70,25.28
Rio Verde De Mato Grosso,BR,-19.02302405632595,-54.643013645767255,1551652553,75.05,0,70,5.3
Coquimbo,CL,-27.667527128567336,-85.33246944714855,1551652554,68.62,80,100,17.27
Mahebourg,MU,-29.086894885006735,67.0885481314335,1551652555,75.95,100,100,12.68
Khuzhir,RU,54.61519666409879,107.46361785406151,1551652555,18.35,68,81,4.29
Ahipara,NZ,-31.67193024473803,168.29734161426484,1551652556,73.12,32,98,20.07
Vallenar,CL,-28.182919476160727,-70.49953927817145,1551652556,58.0,0,80,0.94
Malwan,IN,15.609986194580785,68.41691982936317,1551652557,77.08,100,100,8.99
